Ticker,Exchange,Exchange Code,Exchange Full Name,Listing Type,Other Listings,Year Listed,IPO Date,Est Lockup 90d,Est Lockup 180d,ISIN,FIGI,Composite FIGI,Share Class FIGI,CIK,LEI,Company Name,Country (HQ),Country (Listing),Country (ISO),Currency,Website,YF Sector,YF Industry,Sector (JP),Subsector (JP),Sub-subsector (JP),Core,Buy Price,Target Price,Date Added,Notes
FICO,NYSE,NYQ,NYSE,Primary,,,,,,,BBG000DW76Y6,BBG000DW76Y6,BBG001S8ZT61,814547,,Fair Isaac Corp,United States,United States,USA,USD,https://www.fico.com,Technology,Software - Application,Tech,,,Y,,,2026-05-03,
FIVE,NASDAQ,NMS,NasdaqGS,Primary,,2012,,,,US33829M1018,BBG001636CR2,BBG001636CR2,BBG001TCDMY9,1177609,529900AAXP5Z6BGI7418,Five Below Inc,United States,United States,USA,USD,https://www.fivebelow.com,Consumer Cyclical,Specialty Retail,Consumer,,,Y,,,2026-04-11,
FMS,NYSE,NYQ,NYSE,ADR/Cross-listed,FME,,,,,US3580291066,BBG000HDMR99,BBG000HDMR99,BBG001S97ZY5,1333141,549300CP8NY40UP89Q40,Fresenius Medical Care AG,Germany,United States,DEU,USD,https://www.freseniusmedicalcare.com,Healthcare,Medical Care Facilities,Healthcare Services,Dialysis,,Y,,,2026-04-11,
HOOD,NASDAQ,NMS,NasdaqGS,Primary,,2021,,,,,BBG008NMBXN8,BBG008NMBXN8,BBG008NMBXP6,1783879,,Robinhood Markets Inc,United States,United States,USA,USD,https://robinhood.com,Financial Services,Capital Markets,Financials,,,Y,,,2026-05-03,
IDXX,NASDAQ,NMS,NasdaqGS,Primary,,,,,,,BBG000BLRT07,BBG000BLRT07,BBG001S5S4Y9,874716,,IDEXX Laboratories Inc,United States,United States,USA,USD,https://www.idexx.com,Healthcare,Diagnostics & Research,Healthcare Services,Animal Health,,Y,,,2026-04-11,
ISRG,NASDAQ,NMS,NasdaqGS,Primary,,,,,,US46120E6023,BBG000BJPDZ1,BBG000BJPDZ1,BBG001S7XR78,1035267,54930052SRG011710797,Intuitive Surgical Inc,United States,United States,USA,USD,https://www.intuitive.com,Healthcare,Medical Instruments & Supplies,MedTech,Surgery,Surgical Robotics,Y,,,2026-07-24,
KKR,NYSE,NYQ,NYSE,Primary,,2010,,,,US48251W1045,BBG000BCQ6J8,BBG000BCQ6J8,BBG001S6PW05,1404912,549300JOHU21WRN2Z451,KKR & Co Inc,United States,United States,USA,USD,https://www.kkr.com,Financial Services,Asset Management,Financials,,,Y,,,2026-05-03,
KLRA,NASDAQ,NGM,NasdaqGM,Primary,,2026,2026-04-16,2026-07-15,2026-10-13,,BBG01Q3NQQJ1,BBG01Q3NQQJ1,BBG01Q3NQQK9,2096997,,"Kailera Therapeutics, Inc.",United States,United States,USA,USD,www.kailera.com,Healthcare,Biotechnology,Biopharma,Biotech,,,,,2026-04-17,
KRC,NYSE,NYQ,NYSE,Primary,,1997,,,,US49427F1084,BBG000BLMZ99,BBG000BLMXN8,BBG001S9BHB5,1025996,549300CXXI18B214UN80,Kilroy Realty Corporation,United States,United States,USA,USD,https://www.kilroyrealty.com,Real Estate,REIT - Office,Healthcare Services,Healthcare Real Estate,,,,,2026-04-11,
LIN,NASDAQ,NMS,NasdaqGS,ADR/Cross-listed,Primary listing likely in United Kingdom,,,,,IE000S9YS762,BBG01FND0CC1,BBG01FND0CC1,BBG01FND0CH6,1707925,,Linde plc,United Kingdom,United States,GBR,USD,https://www.linde.com,Basic Materials,Specialty Chemicals,Materials,,,Y,,,2026-05-03,
LLY,NYSE,NYQ,NYSE,Primary,,,,,,,BBG000BNBDC2,BBG000BNBDC2,BBG001S5STL8,59478,,Eli Lilly And Co,United States,United States,USA,USD,https://www.lilly.com,Healthcare,Drug Manufacturers - General,Biopharma,Large Pharma,,,,,2026-04-11,
MA,NYSE,NYQ,NYSE,Primary,,2006,,,,,BBG000F1ZSQ2,BBG000F1ZSQ2,BBG001SKNNS6,1141391,,Mastercard Inc,United States,United States,USA,USD,https://www.mastercard.com,Financial Services,Credit Services,Financials,,,Y,,,2026-05-03,
MAIR,NYSE,,,Primary,,2026,2026-04-15,2026-07-14,2026-10-12,US55658T1051,BBG020W40ST0,BBG020W40ST0,BBG020W40TR0,2098430,,Madison Air Solutions Corporation,United States,United States,USA,USD,http://www.madisonair.com,Industrials,Industrial - Machinery,Tech,,,,,,2026-04-17,
